timestamp,open,high,low,close,volume,MA_20,MA_50,MA_200,RSI,MACD,MACD_signal,MACD_hist,trend_strength,regime,signal,active_strategy
2023-10-17,28500.77,28613.65,28069.32,28395.91,38428.44532,,,,,0.0,0.0,0.0,,UNKNOWN,HOLD,
2023-10-18,28395.91,28982.36,28142.87,28320.0,32162.47591,,,,,-6.05549857549704,-1.211099715099408,-4.844398860397632,,UNKNOWN,HOLD,
2023-10-19,28320.0,28916.89,28100.66,28713.71,35895.50179,,,,,20.67623899156388,3.166368026233249,17.509870965330627,,UNKNOWN,HOLD,
2023-10-20,28713.71,30207.55,28578.29,29669.04,59422.0992,,,,,117.59294233907713,26.051682888802027,91.5412594502751,,UNKNOWN,HOLD,
2023-10-21,29669.05,30379.99,29464.77,29909.8,27517.51897,,,,,211.3906678411004,63.1194798792617,148.27118796183868,,UNKNOWN,HOLD,
2023-10-22,29909.8,30248.0,29640.0,29992.46,22852.54563,,,,,289.06386397127426,108.30835669766422,180.75550727361,,UNKNOWN,HOLD,
2023-10-23,29992.46,34741.91,29883.6,33069.99,93513.64246,,,,,592.1257257374054,205.07183050561247,387.053895231793,,UNKNOWN,HOLD,
2023-10-24,33069.99,35280.0,32832.34,33922.73,115265.02418,,,,,890.8443271127289,342.2263298270358,548.6179972856931,,UNKNOWN,HOLD,
2023-10-25,33922.73,35132.85,33679.05,34496.05,54887.02529,,,,,1160.4659740351271,505.8742586686541,654.5917153664731,,UNKNOWN,HOLD,
2023-10-26,34496.05,34824.13,33751.0,34151.66,39744.66255,,,,,1331.0106150821885,670.901529951361,660.1090851308275,,UNKNOWN,HOLD,
2023-10-27,34151.66,34245.0,33390.95,33892.02,32330.40106,,,,,1428.7479764144227,822.4708192439734,606.2771571704493,,UNKNOWN,HOLD,
2023-10-28,33892.01,34493.33,33860.0,34081.0,16880.13144,,,,,1504.1161315731297,958.7998817098048,545.3162498633249,,UNKNOWN,HOLD,
2023-10-29,34081.01,34750.11,33930.0,34525.89,20685.52176,,,,,1581.5141319786926,1083.3427317635824,498.1714002151102,,UNKNOWN,HOLD,
2023-10-30,34525.88,34856.0,34062.84,34474.73,33657.95976,,,,90.3050250496617,1620.0494983137796,1190.684085073622,429.36541324015775,,UNKNOWN,HOLD,
2023-10-31,34474.74,34720.49,34025.0,34639.77,32737.89822,,,,90.51266146383492,1644.944506145388,1281.536169287975,363.4083368574129,0.8102532292766986,TRENDING,HOLD,
