timestamp,open,high,low,close,volume,MA_20,MA_50,MA_200,RSI,MACD,MACD_signal,MACD_hist
2020-01-01,7195.24,7255.0,7175.15,7200.85,16792.388165,,,,,0.0,0.0,0.0
2020-01-02,7200.77,7212.5,6924.74,6965.71,31951.483932,,,,,-18.757606837606545,-3.7515213675213093,-15.006085470085235
2020-01-03,6965.49,7405.0,6871.04,7344.96,68428.500451,,,,,-2.986414395986685,-3.5984999732143845,0.6120855772276994
2020-01-04,7345.0,7404.0,7272.21,7354.11,29987.974977,,,,,10.133880700963346,-0.8520238383788383,10.985904539342183
2020-01-05,7354.19,7495.0,7318.0,7358.75,38331.085604,,,,,20.667970811668056,3.4519750916305405,17.215995720037515
2020-01-06,7357.64,7795.34,7346.76,7758.0,54635.695316,,,,,60.53464573245765,14.868509219795964,45.66613651266168
2020-01-07,7758.9,8207.68,7723.71,8145.28,91171.684661,,,,,121.97349764210776,36.289506904258324,85.68399073784943
2020-01-08,8145.92,8455.0,7870.0,8055.98,112622.64264,,,,,161.59569218508568,61.3507439604238,100.24494822466188
2020-01-09,8054.72,8055.96,7750.0,7817.76,64239.51983,,,,,171.793870904683,83.43936934927564,88.35450155540735
2020-01-10,7817.74,8199.0,7672.0,8197.02,82406.777448,,,,,208.08049103081066,108.36759368558265,99.71289734522801
2020-01-11,8198.86,8286.34,8003.16,8020.01,54810.032667,,,,,220.01843567628566,130.69776208372326,89.3206735925624
2020-01-12,8020.01,8197.0,7960.0,8184.98,38131.494336,,,,,240.0241936101893,152.56304838901647,87.46114522117281
2020-01-13,8184.97,8196.0,8055.89,8110.34,31159.755683,,,,,247.00871400159303,171.4521815115318,75.55653249006124
2020-01-14,8110.34,8880.0,8105.54,8810.01,120399.126742,,,,74.84974272495353,305.4801335219063,198.2577719136067,107.2223616082996
2020-01-15,8814.64,8916.48,8564.0,8821.41,84816.297606,,,,74.93798435297522,348.7192213680555,228.35006180449648,120.36915956355904
2020-01-16,8820.01,8859.81,8586.0,8720.01,51991.074284,,,,78.15493156664871,370.5331024854886,256.78666994069494,113.74643254479366
2020-01-17,8720.15,9041.65,8672.44,8913.28,70897.737377,,,,76.7680732967851,398.8187004836427,285.1930760492845,113.6256244343582
2020-01-18,8913.27,8988.88,8806.38,8915.96,38294.746545,,,,76.71664973195257,416.6486282544629,311.4841864903202,105.16444176414268
2020-01-19,8915.09,9198.98,8466.0,8701.7,70676.889259,,,,71.43500148438527,408.77784655633513,330.94291850352323,77.8349280528119
2020-01-20,8701.72,8746.99,8521.28,8642.35,38896.639746,8101.9235,,,65.83318711932141,393.2183697665623,343.3980087561311,49.82036101043121
2020-01-21,8642.35,8789.0,8488.0,8736.03,36494.687659,8178.6825,,,61.819207637919135,384.01982390828925,351.52237178656276,32.497452121726496
2020-01-22,8736.04,8818.0,8590.0,8682.36,29080.557138,8264.515000000001,,,62.71331612190888,368.15532417422037,354.8489622640943,13.306361910126043
2020-01-23,8682.77,8691.81,8306.39,8404.52,48165.944597,8317.493,,,61.72066637369663,329.3664959019534,349.75246899166615,-20.385973089712763
2020-01-24,8404.52,8528.02,8238.0,8439.0,41687.529529,8371.7375,,,55.60574891582341,297.97346525101057,339.39666824353503,-41.423202992524466
2020-01-25,8438.99,8451.26,8254.9,8340.58,25521.157932,8420.829,,,57.707010044573096,262.1309088692069,323.9435163686694,-61.8126074994625
2020-01-26,8340.01,8618.13,8293.66,8615.0,31130.485164,8463.679,,,59.8214856704337,252.95294123253007,309.74540134144155,-56.792460108911484
2020-01-27,8614.39,9000.0,8535.0,8907.57,53973.542996,8501.7935,,,66.55989963067746,266.2184886256455,301.04001879828235,-34.82153017263687
2020-01-28,8907.57,9400.0,8862.4,9374.21,74584.853765,8567.705,,,62.975603473653216,310.8027381373395,302.99256266609376,7.810175471245714
2020-01-29,9375.34,9449.24,9216.0,9301.53,53864.065122,8641.8935,,,60.739209791711446,336.39367165063595,309.6727844630022,26.720887187633764
2020-01-30,9301.57,9578.0,9204.44,9513.21,60626.744259,8707.703,,,66.907965416688,369.49615606531734,321.63745878346526,47.85869728185207
2020-01-31,9511.52,9530.22,9210.01,9352.89,45552.022352,8774.347,,,59.504300187227855,378.43130874274357,332.9962287753209,45.435079967422666
2020-02-01,9351.71,9464.53,9281.0,9384.61,28578.067354,8834.3285,,,60.006490927647555,383.6495473504965,343.12689249035606,40.52265486014045
2020-02-02,9384.41,9477.03,9120.0,9331.51,45690.91254,8895.386999999999,,,64.44140752188648,379.12993888249,350.3275017687829,28.80243711370713
2020-02-03,9331.59,9618.79,9234.0,9292.24,50892.133451,8919.4985,,,65.040338071456,368.1357164202909,353.8891446990845,14.246571721206408
2020-02-04,9291.35,9350.0,9093.01,9197.02,53308.175266,8938.278999999999,,,60.661045406400476,347.730833107511,352.6574823807698,-4.926649273258818
2020-02-05,9197.02,9744.45,9177.22,9612.04,64870.415615,8982.880500000001,,,68.42132378000937,360.8883651774704,354.3036589401099,6.5847062373604786
2020-02-06,9612.03,9862.57,9526.35,9772.0,64949.706588,9025.8165,,,78.42402826855127,379.84462688268104,359.4118525286242,20.432774354056846
2020-02-07,9772.0,9885.0,9730.0,9813.73,43966.114632,9070.704999999998,,,78.48886125790077,393.6965740661635,366.2687968361321,27.427777230031438
2020-02-08,9813.87,9940.0,9667.11,9895.05,43600.843666,9130.372500000001,,,82.44359568384368,406.5497341208429,374.3249842930743,32.22474982776862
2020-02-09,9895.04,10166.0,9880.75,10151.75,43408.475616,9205.8425,,,82.31276782748026,432.4643212392293,385.9528516823053,46.511469556924
2020-02-10,10151.72,10188.0,9756.0,9851.83,59573.084619,9261.6325,,,69.79348336463647,423.9141621868039,393.545113783205,30.369048403598867
2020-02-11,9851.74,10323.59,9700.0,10223.08,62422.395224,9338.6685,,,68.53516981165038,441.9997736165351,403.23604574987104,38.763727866664055
2020-02-12,10223.08,10450.0,10223.08,10326.46,61008.06393,9434.7655,,,72.08339258550626,459.37921535075475,414.4646796700478,44.91453568070693
2020-02-13,10325.33,10500.0,10080.0,10229.63,79344.358759,9524.297,,,66.23990134830035,460.0361658222864,423.5789769004956,36.45718892179082
2020-02-14,10227.78,10381.56,10111.37,10344.36,47038.480173,9624.486,,,72.9491007568919,464.4605439316365,431.7552903067238,32.7052536249127
2020-02-15,10344.36,10375.0,9801.0,9904.72,57657.202947,9688.972,,,60.126476303216,427.5629422346119,430.9168206923014,-3.353878457689518
2020-02-16,9904.46,10050.0,9638.12,9917.27,60023.999537,9739.457,,,61.58764322339684,394.7831922755795,423.6900950089571,-28.906902733377592
2020-02-17,9910.7,9964.16,9452.67,9706.0,70261.011901,9756.0465,,,57.66358463726885,347.74865094271263,408.50180619570824,-60.75315525299561
2020-02-18,9706.0,10250.0,9576.01,10164.71,70604.124019,9799.2055,,,65.7963898256943,343.5275299446821,395.50695094550304,-51.979421000820935
2020-02-19,10164.78,10250.0,9350.0,9593.79,55162.586895,9803.2345,8928.3434,,49.71651894585434,290.762064434035,374.55797364320944,-83.79590920917445
2020-02-20,9594.65,9699.0,9400.0,9596.42,60152.342914,9815.411,8976.2548,,47.132526342607406,246.317872772599,348.9099534690873,-102.59208069648832
2020-02-21,9597.21,9755.51,9550.21,9677.05,42181.554524,9830.033,9030.481600000001,,47.795825162555474,215.12190639657274,322.15234405458443,-107.03043765801169
2020-02-22,9677.05,9709.17,9560.02,9650.86,24636.757623,9846.0005,9076.5996,,45.99077281757435,186.13985973277158,294.9498471902219,-108.80998745745029
2020-02-23,9650.85,9990.0,9645.0,9936.4,37702.089843,9878.208499999999,9128.2454,,46.49745136117155,184.0899957114725,272.777876894472,-88.68788118299949
2020-02-24,9936.4,9990.0,9473.56,9656.13,55796.59612,9901.164,9174.193000000001,,46.796571660544615,158.02836440462488,249.82797439650258,-91.7996099918777
2020-02-25,9655.52,9675.0,9250.0,9315.84,54379.344552,9886.354,9205.3498,,34.997254909742736,108.66317333054576,221.59501418331124,-112.93184085276548
2020-02-26,9316.48,9377.44,8633.63,8785.25,92130.345482,9837.0165,9218.1492,,27.668736724054483,26.422147009481705,182.56044074854535,-156.13829373906364
2020-02-27,8786.0,8971.77,8531.0,8823.21,72483.578762,9787.4905,9233.4938,,29.26808415292811,-35.28466446154562,138.99141970652715,-174.27608416807277
2020-02-28,8823.25,8900.0,8445.0,8692.91,71155.208977,9727.3835,9250.996799999999,,25.76735368262264,-93.62265448059406,92.4686048691029,-186.09125934969697
2020-02-29,8690.8,8790.0,8523.55,8523.61,36748.183035,9645.9765,9257.5286,,27.987823342842987,-151.7675451851992,43.62137485824249,-195.3889200434417
2020-03-01,8523.61,8750.0,8411.0,8531.88,43892.201779,9579.979000000001,9267.766,,27.889443226179097,-194.9333992109132,-4.089579955588647,-190.84381925532455
2020-03-02,8530.3,8965.75,8498.0,8915.24,60401.31773,9514.587,9282.3712,,38.036768977536745,-195.94991277281588,-42.4616465190341,-153.48826625378177
