symbol,strategy_return,buy_hold_return,num_trades,beat_buy_hold
BTCUSDT,49.663295792639396,117.80633768459982,14,False
ETHUSDT,187.9770538753969,152.74668477589825,16,True
SOLUSDT,-37.90868077205549,3967.3687639107543,14,False
BNBUSDT,40.19017231798445,1399.629210984694,12,False
PAXGUSDT,51.030768345262054,106.33112973899794,4,False
